ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.127.29.105","elite","AS134926","IN","Micro Hosting Private Limited","163","MicroHost","7497","socks5","5092","1","2023-07-12T11:35:28.336Z","83","2353","2822"
"101.255.165.126","elite","AS38511","ID","PT Remala Abadi","199","N/A","80","socks4","4803","1","2023-07-12T11:35:28.250Z","99","2729","2746"
"45.226.1.1","elite","AS266987","BR","Web - Link Telecomunicações e Engenharia","229","Web - Link Telecomunicações e Engenharia","4153","socks4","5009","1","2023-07-12T11:35:28.332Z","99","2830","2850"
"185.6.10.191","elite","AS12552","SE","GlobalConnect AB","32","Internet Vikings International AB","19427","socks4","4389","1","2023-07-12T11:35:28.348Z","100","2806","2807"
"104.16.195.74","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4605","1","2023-07-12T11:35:28.244Z","100","2740","2740"
"155.138.238.14","elite","AS20473","US","The Constant Company","96","Vultr Holdings, LLC","808","socks5","4499","1","2023-07-12T11:35:22.142Z","100","2837","2839"
"222.255.139.134","elite","AS45899","VN","VNPT Corp","258","VietNam Data Communication Company","5678","socks4","5005","1","2023-07-12T11:35:22.140Z","97","2686","2764"
"52.97.183.166","elite","AS8075","NL","Microsoft Corporation","11","Microsoft Corporation","80","socks4","4388","1","2023-07-12T11:35:22.238Z","100","2774","2774"
"177.105.67.205","elite","AS262637","BR","Netprimus Tecnologia Ltda","198","Refrescos Guararapes Ltda","4153","socks4","4106","1","2023-07-12T11:35:22.145Z","99","2849","2865"
"172.105.97.61","elite","AS63949","CA","Akamai Technologies","92","Linode","61743","socks5","4712","84","2023-07-12T11:35:16.049Z","100","2755","2755"
"108.26.234.210","elite","AS701","US","Verizon Communications","96","MCI Communications Services, Inc. d/b/a Verizon Business","9050","socks5","4893","3","2023-07-12T11:35:15.933Z","100","2818","2828"
"177.87.230.31","elite","AS262309","BR","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","206","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","43573","socks4","3712","1","2023-07-12T11:35:16.033Z","100","2848","2859"
"212.83.137.142","elite","AS12876","FR","Online S.A.S.","1","ONLINE","53840","socks5","5006","1","2023-07-12T11:35:15.936Z","100","2785","2786"
